input,output
1.400000000000000000e+02,-9.314916729927062988e-01
1.410000000000000000e+02,-8.766980171203613281e-01
1.420000000000000000e+02,-8.140767812728881836e-01
1.430000000000000000e+02,-7.358001470565795898e-01
1.440000000000000000e+02,-6.418682336807250977e-01
1.450000000000000000e+02,-5.401086211204528809e-01
1.460000000000000000e+02,-4.383490085601806641e-01
1.470000000000000000e+02,-3.209341168403625488e-01
1.480000000000000000e+02,-1.956915259361267090e-01
1.490000000000000000e+02,-7.044893503189086914e-02
1.500000000000000000e+02,5.479359626770019531e-02
1.510000000000000000e+02,1.722085475921630859e-01
1.520000000000000000e+02,2.974511384963989258e-01
1.530000000000000000e+02,4.148660898208618164e-01
1.540000000000000000e+02,5.244532823562622070e-01
1.550000000000000000e+02,6.262128353118896484e-01
1.560000000000000000e+02,7.201448678970336914e-01
1.570000000000000000e+02,7.984213829040527344e-01
1.580000000000000000e+02,8.688703775405883789e-01
1.590000000000000000e+02,9.236639738082885742e-01
1.600000000000000000e+02,9.628022909164428711e-01
1.610000000000000000e+02,9.862853288650512695e-01
1.620000000000000000e+02,9.941129684448242188e-01
1.630000000000000000e+02,9.941129684448242188e-01
1.640000000000000000e+02,9.706299304962158203e-01
1.650000000000000000e+02,9.393193721771240234e-01
1.660000000000000000e+02,8.845256567001342773e-01
1.670000000000000000e+02,8.219044208526611328e-01
1.680000000000000000e+02,7.436277866363525391e-01
1.690000000000000000e+02,6.496958732604980469e-01
1.700000000000000000e+02,5.557639598846435547e-01
1.710000000000000000e+02,4.461766481399536133e-01
1.720000000000000000e+02,3.287618160247802734e-01
1.730000000000000000e+02,2.113468647003173828e-01
1.740000000000000000e+02,8.610427379608154297e-02
1.750000000000000000e+02,-3.913831710815429688e-02
1.760000000000000000e+02,-1.643809080123901367e-01
1.770000000000000000e+02,-2.817957997322082520e-01
1.780000000000000000e+02,-3.992106914520263672e-01
1.790000000000000000e+02,-5.166256427764892578e-01
1.800000000000000000e+02,-6.183851957321166992e-01
1.810000000000000000e+02,-7.123171091079711914e-01
1.820000000000000000e+02,-7.905937433242797852e-01
1.830000000000000000e+02,-8.610427379608154297e-01
1.840000000000000000e+02,-9.158363342285156250e-01
1.850000000000000000e+02,-9.628022909164428711e-01
1.860000000000000000e+02,-9.862852692604064941e-01
1.870000000000000000e+02,-1.001940608024597168e+00
1.880000000000000000e+02,-9.941129684448242188e-01
1.890000000000000000e+02,-9.784576296806335449e-01
1.900000000000000000e+02,-9.393193125724792480e-01
1.910000000000000000e+02,-8.923533558845520020e-01
1.920000000000000000e+02,-8.297320604324340820e-01
1.930000000000000000e+02,-7.514554262161254883e-01
1.940000000000000000e+02,-6.653511524200439453e-01
1.950000000000000000e+02,-5.635915994644165039e-01
1.960000000000000000e+02,-4.540043473243713379e-01
1.970000000000000000e+02,-3.444170951843261719e-01
1.980000000000000000e+02,-2.191745042800903320e-01
1.990000000000000000e+02,-1.017596125602722168e-01
2.000000000000000000e+02,2.348303794860839844e-02
2.010000000000000000e+02,1.487255096435546875e-01
2.020000000000000000e+02,2.739681005477905273e-01
2.030000000000000000e+02,3.913830518722534180e-01
2.040000000000000000e+02,5.009702444076538086e-01
2.050000000000000000e+02,6.105575561523437500e-01
2.060000000000000000e+02,7.044894695281982422e-01
2.070000000000000000e+02,7.827661037445068359e-01
