input,output
1.520000000000000000e+02,2.486900389194488525e-01
1.530000000000000000e+02,3.681247532367706299e-01
1.540000000000000000e+02,4.817539155483245850e-01
1.550000000000000000e+02,5.877854824066162109e-01
1.560000000000000000e+02,6.845473647117614746e-01
1.570000000000000000e+02,7.705135345458984375e-01
1.580000000000000000e+02,8.443281650543212891e-01
1.590000000000000000e+02,9.048272371292114258e-01
1.600000000000000000e+02,9.510566592216491699e-01
1.610000000000000000e+02,9.822873473167419434e-01
1.620000000000000000e+02,9.980267882347106934e-01
1.630000000000000000e+02,9.980267882347106934e-01
1.640000000000000000e+02,9.822871088981628418e-01
1.650000000000000000e+02,9.510562419891357422e-01
1.660000000000000000e+02,9.048267006874084473e-01
1.670000000000000000e+02,8.443273901939392090e-01
1.680000000000000000e+02,7.705125808715820312e-01
1.690000000000000000e+02,6.845463514328002930e-01
1.700000000000000000e+02,5.877859592437744141e-01
1.710000000000000000e+02,4.817543625831604004e-01
1.720000000000000000e+02,3.681234419345855713e-01
1.730000000000000000e+02,2.486886829137802124e-01
1.740000000000000000e+02,1.253319680690765381e-01
1.750000000000000000e+02,-1.327215159108163789e-06
1.760000000000000000e+02,-1.253346055746078491e-01
1.770000000000000000e+02,-2.486894428730010986e-01
1.780000000000000000e+02,-3.681241571903228760e-01
1.790000000000000000e+02,-4.817533195018768311e-01
1.800000000000000000e+02,-5.877864956855773926e-01
1.810000000000000000e+02,-6.845482587814331055e-01
1.820000000000000000e+02,-7.705143094062805176e-01
1.830000000000000000e+02,-8.443288803100585938e-01
1.840000000000000000e+02,-9.048269987106323242e-01
1.850000000000000000e+02,-9.510564804077148438e-01
1.860000000000000000e+02,-9.822872281074523926e-01
1.870000000000000000e+02,-9.980267286300659180e-01
1.880000000000000000e+02,-9.980266094207763672e-01
1.890000000000000000e+02,-9.822868704795837402e-01
1.900000000000000000e+02,-9.510558843612670898e-01
1.910000000000000000e+02,-9.048269391059875488e-01
1.920000000000000000e+02,-8.443277478218078613e-01
1.930000000000000000e+02,-7.705129981040954590e-01
1.940000000000000000e+02,-6.845467686653137207e-01
1.950000000000000000e+02,-5.877848863601684570e-01
1.960000000000000000e+02,-4.817515611648559570e-01
1.970000000000000000e+02,-3.681222796440124512e-01
1.980000000000000000e+02,-2.486893236637115479e-01
1.990000000000000000e+02,-1.253325939178466797e-01
2.000000000000000000e+02,6.993822125878068618e-07
2.010000000000000000e+02,1.253339797258377075e-01
2.020000000000000000e+02,2.486906498670578003e-01
2.030000000000000000e+02,3.681253194808959961e-01
2.040000000000000000e+02,4.817561507225036621e-01
2.050000000000000000e+02,5.877844691276550293e-01
2.060000000000000000e+02,6.845478415489196777e-01
2.070000000000000000e+02,7.705138921737670898e-01
2.080000000000000000e+02,8.443285226821899414e-01
2.090000000000000000e+02,9.048275351524353027e-01
2.100000000000000000e+02,9.510568976402282715e-01
2.110000000000000000e+02,9.822874665260314941e-01
2.120000000000000000e+02,9.980266690254211426e-01
2.130000000000000000e+02,9.980267882347106934e-01
2.140000000000000000e+02,9.822869896888732910e-01
2.150000000000000000e+02,9.510560631752014160e-01
2.160000000000000000e+02,9.048264026641845703e-01
2.170000000000000000e+02,8.443270921707153320e-01
2.180000000000000000e+02,7.705134153366088867e-01
2.190000000000000000e+02,6.845472455024719238e-01
2.200000000000000000e+02,5.877854228019714355e-01
2.210000000000000000e+02,4.817537963390350342e-01
2.220000000000000000e+02,3.681228756904602051e-01
2.230000000000000000e+02,2.486880868673324585e-01
